Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Ca       34.650
Mn        6.538
P        18.279
O        37.768
F         2.766
 
Fluorapatite    Ca4.791 Mn.211 P3 O12 F.93
Ca       37.933
Mn        2.290
P        18.357
O        37.929
F         3.491
 
Clinoptilolite-Na    Na4 Ca1.82 K.4 Mg.04 (Al4.08 Si13.92) O48.76 H23.5
Na        6.187
Ca        4.907
K         1.052
Mg        0.065
Al        7.406
Si       26.302
O        52.486
H         1.594
 
Clinoptilolite-Na    Na2.12 Ca.9 K.14 Mg.08 (Al4.08 Si13.92) O48.44 H20.77
Na        3.508
Ca        2.596
K         0.394
Mg        0.140
Al        7.924
Si       28.142
O        55.788
H         1.507
 
Clinoptilolite-Na    Na1.64 Ca.772 K.1 Mg.05 (Al4.08 Si13.92) O44.82 H22.02
Na        2.869
Ca        2.354
K         0.298
Mg        0.092
Al        8.377
Si       29.751
O        54.570
H         1.689
 
Clinoptilolite-Na    Na1.56 Ca.66 K.36 (Al4.08 Si13.92) O43.96 H11.12
Na        2.776
Ca        2.047
K         1.089
Al        8.521
Si       30.260
O        54.439
H         0.868
 
Clinoptilolite-Na    Na1.2 Ca.88 K.26 (Al4.08 Si13.92) O37.86 H3.12
Na        2.332
Ca        2.981
K         0.859
Al        9.306
Si       33.049
O        51.206
H         0.266
 
[Mg(H2O)6]CsCl3    Cs Mg Cl3 O6 H12
Cs       35.760
Mg        6.540
Cl       28.617
O        25.829
H         3.254
 
Ferrocolumbite    (Nb.501 Ta.166 Fe.333) O2
Nb       36.599
Ta       23.618
Fe       14.623
O        25.160
 
Ferrocolumbite    (Nb.5 Ta.167 Fe.333) O2
Nb       36.500
Ta       23.744
Fe       14.613
O        25.143
 
Beusite    P2 (Mn1.5 Fe1.5) O8
P        17.395
Mn       23.140
Fe       23.523
O        35.942
 
Pitiglianoite    Si9 Al9 O44.997 Na10.998 K4.002 S1.5 H2.04
Si       15.091
Al       14.498
O        42.981
Na       15.095
K         9.342
S         2.872
H         0.123
 
Reedmergnerite    Na B Si3 O8
Na        9.343
B         4.394
Si       34.243
O        52.019
 
Reedmergnerite    Na B Si2.9 O8
Na        9.451
B         4.445
Si       33.484
O        52.620
 
Reedmergnerite-high    Na (B Si3) O8
Na        9.343
B         4.394
Si       34.243
O        52.019
 
Garronite    (Al1.5 Si2.5) O11.02 Ca.704 Na.2 H18
Al       11.976
Si       20.776
O        52.171
Ca        8.349
Na        1.361
H         5.368
 
Garronite    (Al.75 Si1.25) O5.57 Ca.436 H4.63
Al       12.147
Si       21.072
O        53.491
Ca       10.489
H         2.801
 
Capgaronnite    Hg Ag S (Cl.82 Br.18)
Hg       52.240
Ag       28.092
S         8.351
Cl        7.571
Br        3.746
 
Phase-B-anhydrous    Si5 Mg12.364 Fe1.616 O24
Si       15.344
Mg       32.836
Fe        9.861
O        41.958
 
Sillimanite    Al2 Si O5
Al       33.301
Si       17.332
O        49.367
 
Garnet    Fe1.89 Ca.75 Mg.24 Mn.09 Al2 Si3 O12
Fe       22.147
Ca        6.307
Mg        1.224
Mn        1.037
Al       11.323
Si       17.679
O        40.284
 
Cordierite    Mg2 (Al4.281 Si4.719) O18 Cs.281
Mg        7.815
Al       18.571
Si       21.308
O        46.301
Cs        6.004
 
Ankerite    Ca.997 Mg.273 Fe.676 Mn.054 C2 O6
Ca       19.272
Mg        3.200
Fe       18.209
Mn        1.431
C        11.586
O        46.301
 
Ankerite    Ca.997 Mg.273 Fe.676 Mn.054 C2 O6
Ca       19.272
Mg        3.200
Fe       18.209
Mn        1.431
C        11.586
O        46.301
 
Ankerite    Ca.997 Mg.273 Fe.676 Mn.054 C2 O6
Ca       19.272
Mg        3.200
Fe       18.209
Mn        1.431
C        11.586
O        46.301
 
Ankerite    Ca.997 Mg.273 Fe.676 Mn.054 C2 O6
Ca       19.272
Mg        3.200
Fe       18.209
Mn        1.431
C        11.586
O        46.301
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Armenite    Ba Ca2 Al6 Si9 O32 H2
Ba       11.982
Ca        6.994
Al       14.125
Si       22.054
O        44.670
H         0.176
 
Spinelloid    Fe2.68 Si.32 O4
Fe       67.221
Si        4.036
O        28.743
 
Garnet    Mg3 Al2 Si3 O12
Mg       18.087
Al       13.386
Si       20.901
O        47.626
 
Garnet    (Mg2.4 Fe.6) Al2 Si3 O12
Mg       13.821
Fe        7.939
Al       12.786
Si       19.964
O        45.490
 
Garnet    (Mg1.8 Fe1.2) Al2 Si3 O12
Mg        9.921
Fe       15.197
Al       12.237
Si       19.107
O        43.538
 
Garnet    (Mg.6 Fe2.4) Al2 Si3 O12
Mg        3.046
Fe       27.992
Al       11.270
Si       17.596
O        40.096
 
Garnet    Fe3 Al2 Si3 O12
Fe       33.659
Al       10.841
Si       16.927
O        38.572
 
Garnet    Mg3 Al2 Si3 O12
Mg       18.087
Al       13.386
Si       20.901
O        47.626
 
Garnet    (Mg2.4 Fe.6) Al2 Si3 O12
Mg       13.821
Fe        7.939
Al       12.786
Si       19.964
O        45.490
 
Garnet    (Mg1.8 Fe1.2) Al2 Si3 O12
Mg        9.921
Fe       15.197
Al       12.237
Si       19.107
O        43.538
 
Garnet    (Mg.6 Fe2.4) Al2 Si3 O12
Mg        3.046
Fe       27.992
Al       11.270
Si       17.596
O        40.096
 
Garnet    Fe3 Al2 Si3 O12
Fe       33.659
Al       10.841
Si       16.927
O        38.572
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    Ni.999 Al1.999 O4
Ni       33.207
Al       30.547
O        36.246
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    (Ni.999 Al2.001) O4
Ni       33.196
Al       30.569
O        36.235
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    Ni1.001 Al2.001 O4
Ni       33.241
Al       30.548
O        36.211
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    (Ni.999 Al2.001) O4
Ni       33.196
Al       30.569
O        36.235
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    (Ni1.001 Al1.999) O4
Ni       33.251
Al       30.527
O        36.222
 
Spinel    (Ni Al2) O4
Ni       33.224
Al       30.548
O        36.228
 
Spinel    Ni1.001 Al2.001 O4
Ni       33.241
Al       30.548
O        36.211
 
Spinel    (Ni1.001 Al1.999) O4
Ni       33.251
Al       30.527
O        36.222
 
Phase-B-superhydrous    Si3 Mg10 O18 H4
Si       13.605
Mg       39.244
O        46.500
H         0.651
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    Mg.996 Fe2 O4
Mg       12.110
Fe       55.875
O        32.015
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    Mg.94 Fe2 O4
Mg       11.507
Fe       56.258
O        32.234
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    Mg1.001 Fe2 O4
Mg       12.163
Fe       55.841
O        31.995
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Magnesioferrite    (Mg Fe2) O4
Mg       12.153
Fe       55.848
O        31.999
 
Chalcomenite    Se Cu O5 H8
Se       34.246
Cu       27.561
O        34.696
H         3.497
 
Eglestonite    Hg6 Cl3 O2
Hg       89.689
Cl        7.926
O         2.385
 
Eglestonite    Hg6 Cl3 O2 H
Hg       89.622
Cl        7.920
O         2.383
H         0.075
 
Fransoletite    Ca3 P4 Be2 O22 H12
Ca       19.199
P        19.784
Be        2.878
O        56.207
H         1.931
 
Parafransoletite    Ca3 P4 Be2 O22 H12
Ca       19.199
P        19.784
Be        2.878
O        56.207
H         1.931
 
Cubanite    Cu Fe2 S3
Cu       23.411
Fe       41.149
S        35.440
 
Cubanite    Cu Fe2 S3
Cu       23.411
Fe       41.149
S        35.440
 
Cubanite    Cu Fe2 S3
Cu       23.411
Fe       41.149
S        35.440
 
Cubanite    Cu Fe2 S3
Cu       23.411
Fe       41.149
S        35.440
 
Vesuvianite    Ca9.5 Cu.26 Mg.8 Al5.44 Si9 O36.3 F2.7 H5
Ca       26.197
Cu        1.137
Mg        1.338
Al       10.099
Si       17.392
O        39.961
F         3.529
H         0.347
 
Vesuvianite    Ca9.5 Fe1.26 Al5.24 Si9 O38 F H2.32
Ca       25.820
Fe        4.772
Al        9.588
Si       17.142
O        41.231
F         1.288
H         0.159
 
Vesuvianite    Ca9.5 Fe1.02 Al5.48 Si9 O35.93 F3.07 H4.53
Ca       25.794
Fe        3.859
Al       10.017
Si       17.124
O        38.945
F         3.951
H         0.309
 
Vesuvianite    Ca9.5 Mg.26 Fe.36 Al5.88 Si9 O39 H2.66
Ca       26.344
Mg        0.437
Fe        1.391
Al       10.977
Si       17.490
O        43.174
H         0.186
 
Leakeite    O24 Si8 Mg2.17 Fe2 Li.83 Na2.962 Ca.04 H2
O        45.144
Si       26.415
Mg        6.201
Fe       13.131
Li        0.677
Na        8.006
Ca        0.188
H         0.237
 
Attakolite    Ca Mn Al4 Si P3 O20 H5
Ca        6.176
Mn        8.465
Al       16.630
Si        4.328
P        14.318
O        49.307
H         0.777
 
Vonbezingite    Cu3 Ca6 S3 O26
Cu       20.210
Ca       25.493
S        10.198
O        44.099
 
Tolbachite    Cu Cl2
Cu       47.263
Cl       52.737
 
Ribbeite    Mn5 Si2 O10 H2
Mn       55.733
Si       11.397
O        32.462
H         0.409
 
Serendibite    B1.632 Si3.368 Al5 Mg2 (Ca1.598 Na.402) O20
B         2.561
Si       13.728
Al       19.579
Mg        7.055
Ca        9.295
Na        1.341
O        46.441
 
Clinoptilolite    (Si14.52 Al3.48) O48.2 Na.96 Ca.784 Ba.16 K.28 Mg.36 H23
Si       29.313
Al        6.749
O        55.432
Na        1.586
Ca        2.259
Ba        1.579
K         0.787
Mg        0.629
H         1.666
 
Clinoptilolite    (Si14.52 Al3.48) O39.36 Na.56 Ca.444 Ba.16 K.84 H2.77
Si       33.434
Al        7.698
O        51.630
Na        1.056
Ca        1.459
Ba        1.801
K         2.693
H         0.229
 
Clinoptilolite    (Si14.52 Al3.48) O38.58 Na.42 Ca.22 Ba.16 K1.06 H3.18
Si       33.869
Al        7.798
O        51.265
Na        0.802
Ca        0.732
Ba        1.825
K         3.442
H         0.266
 
Clinoptilolite    (Si14.52 Al3.48) O38.42 Na.38 Ca.16 Ba.16 K1.08 H3.18
Si       34.013
Al        7.832
O        51.270
Na        0.729
Ca        0.535
Ba        1.833
K         3.522
H         0.267
 
Dravite    Na.814 K.014 Ca.009 Ti.03 Cr.006 Fe.612 Mn.003 Mg2.274 Al6.078 Si6 B3 O34
Na        1.835
K         0.054
Ca        0.035
Ti        0.141
Cr        0.031
Fe        3.351
Mn        0.016
Mg        5.419
Al       16.079
Si       16.522
B         3.180
O        53.336
 
Topaz    Al2 Si O6 H2
Al       29.969
Si       15.598
O        53.313
H         1.120
 
Bastnasite-Ce    Ce C O3 F
Ce       63.944
C         5.481
O        21.905
F         8.670
 
Tengerite-(Y)    Y2 C3 O11 H2
Y        45.377
C         9.196
O        44.913
H         0.514
 
Povondraite    Na Fe9 B3 Si6 O31 H1.998
Na        1.877
Fe       41.045
B         2.649
Si       13.761
O        40.503
H         0.164
 
Leucite    K (Si2 Al) O6
K        17.915
Si       25.737
Al       12.363
O        43.985
 
Leucite    K Si2 Al O6
K        17.915
Si       25.737
Al       12.363
O        43.985
 
Leucite    K (Si2 Al) O6
K        17.915
Si       25.737
Al       12.363
O        43.985
 
Hollandite    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Hollandite    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Hollandite    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Hollandite    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Hollandite    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Garnet    Si3 Al2 Mg3 O12
Si       20.901
Al       13.386
Mg       18.087
O        47.626
 
Garnet    Si3 Al2 (Mg2.412 Ca.588) O12
Si       20.431
Al       13.085
Mg       14.215
Ca        5.714
O        46.555
 
Garnet    Si3 Al2 (Mg2.226 Ca.774) O12
Si       20.286
Al       12.993
Mg       13.026
Ca        7.469
O        46.226
 
Garnet    Si3 Al2 Mg.888 Ca2.106 O12
Si       19.316
Al       12.371
Mg        4.948
Ca       19.350
O        44.015
 
Garnet    Si3 Al2 (Mg.609 Ca2.391) O12
Si       19.113
Al       12.241
Mg        3.358
Ca       21.737
O        43.552
 
Garnet    Si3 Al2 (Mg.453 Ca2.547) O12
Si       19.007
Al       12.173
Mg        2.484
Ca       23.027
O        43.310
 
Garnet    Si3 Al2 Ca3 O12
Si       18.705
Al       11.980
Ca       26.692
O        42.623
 
BCTT    K2.28 (Mg1.14 Si2.86) O8
K        27.414
Mg        8.521
Si       24.702
O        39.362
 
BCTT    K2.2 (Zn1.1 Si2.9) O8
K        23.413
Zn       19.578
Si       22.169
O        34.839
 
BCTT    K2.22 (Fe2.22 Si1.78) O8
K        22.327
Fe       31.891
Si       12.859
O        32.923
 
Richterite    Si8 Mg5 (Na Ca) K O24 H2
Si       26.928
Mg       14.565
Na        2.755
Ca        4.803
K         4.686
O        46.021
H         0.242
 
Richterite    Si8 (Mg3.86 Ni1.14) (Na Ca) K O24 H2
Si       25.720
Mg       10.739
Ni        7.659
Na        2.632
Ca        4.588
K         4.476
O        43.956
H         0.231
 
Richterite    Si8 (Mg2.75 Ni2.25) (Na Ca) K O24 H2
Si       24.643
Mg        7.331
Ni       14.484
Na        2.522
Ca        4.396
K         4.288
O        42.116
H         0.221
 
Richterite    Si8 (Mg1.78 Ni3.22) (Na Ca) K O24 H2
Si       23.774
Mg        4.578
Ni       19.996
Na        2.433
Ca        4.241
K         4.137
O        40.629
H         0.213
 
Richterite    Si8 (Mg.93 Ni4.07) (Na Ca) K O24 H2
Si       23.061
Mg        2.320
Ni       24.516
Na        2.360
Ca        4.113
K         4.013
O        39.410
H         0.207
 
Richterite    Si8 Ni5 (Na Ca) K O24 H2
Si       22.328
Ni       29.161
Na        2.285
Ca        3.983
K         3.885
O        38.158
H         0.200
 
Richterite    Si8 (Mg3.99 Co1.01) (Na Ca) K O24 H2
Si       25.845
Mg       11.155
Co        6.847
Na        2.644
Ca        4.610
K         4.497
O        44.169
H         0.232
 
Richterite    Si8 (Mg3.02 Co1.98) (Na Ca) K O24 H2
Si       24.884
Mg        8.129
Co       12.923
Na        2.546
Ca        4.439
K         4.330
O        42.526
H         0.223
 
Richterite    Si8 (Mg2.08 Co2.92) (Na Ca) K O24 H2
Si       24.018
Mg        5.404
Co       18.395
Na        2.458
Ca        4.284
K         4.179
O        41.046
H         0.215
 
Richterite    Si8 (Mg1.18 Co3.82) (Na Ca) K O24 H2
Si       23.243
Mg        2.967
Co       23.289
Na        2.378
Ca        4.146
K         4.045
O        39.723
H         0.209
 
Richterite    Si8 Co5 (Na Ca) K O24 H2
Si       22.301
Co       29.247
Na        2.282
Ca        3.978
K         3.881
O        38.112
H         0.200
 
Spangolite    Cu6 S Cl Al O19 H18
Cu       47.784
S         4.019
Cl        4.443
Al        3.382
O        38.098
H         2.274
 
Amphibole    Na1.56 K1.9 Mg1.8 Fe2.76 Al2.3 Ti.06 Ca1.94 Si6.08 O23.74 F.26 H2.12
Na        3.557
K         7.367
Mg        4.339
Fe       15.286
Al        6.154
Ti        0.285
Ca        7.711
Si       16.934
O        37.667
F         0.490
H         0.212
 
Potassic-chlorohastingsite    Na2.5 K1.8 Mg1.76 Fe2.94 Al1.88 Ti.04 Ca1.74 Si6.44 O25.16 Cl.56 F.26 H.6
Na        5.392
K         6.602
Mg        4.013
Fe       15.402
Al        4.758
Ti        0.180
Ca        6.542
Si       16.967
O        37.762
Cl        1.862
F         0.463
H         0.057
 
Potassic-chlorohastingsite    Na1.94 K2.7 Mg1.06 Fe3.58 Al2.18 Ti.02 Ca1.86 Si6.16 O24.88 Cl.98 F.14 H2
Na        3.980
K         9.420
Mg        2.299
Fe       17.840
Al        5.249
Ti        0.085
Ca        6.652
Si       15.438
O        35.520
Cl        3.100
F         0.237
H         0.180
 
Beryl    Si6 Be2.664 Li.315 Al2 O18.72 Cs.083 Na.24 H1.476
Si       29.761
Be        4.240
Li        0.386
Al        9.530
O        52.897
Cs        1.948
Na        0.974
H         0.263
 
Beryl    Si6 (Be2.682 Li.318) Al2 O18.61 Cs.083 Na.24 H1.26
Si       29.856
Be        4.282
Li        0.391
Al        9.561
O        52.753
Cs        1.954
Na        0.978
H         0.225
 
Beryl    Si6 (Be2.682 Li.318) Al2 O18.16 Cs.096 H.48
Si       30.492
Be        4.374
Li        0.399
Al        9.764
O        52.574
Cs        2.309
H         0.088
 
Beryl    Si6 Be3 (Al1.97 Fe.03) O18.24 Na.016 H.26
Si       31.043
Be        4.981
Al        9.792
Fe        0.309
O        53.760
Na        0.068
H         0.048
 
Beryl    Si6 Be3 (Al1.97 Fe.03) O18.48 H.48
Si       30.833
Be        4.947
Al        9.726
Fe        0.307
O        54.099
H         0.089
 
Bernalite    Fe4 O13 H14
Fe       50.144
O        46.688
H         3.168
 
Moctezumite    U Pb Te2 O8
U        28.733
Pb       25.011
Te       30.805
O        15.450
 
Richterite    O24 Si7.4 Ti.6 Mg5 (Na Ca) K H1.08
O        45.425
Si       24.586
Ti        3.398
