id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
428,Sb,L,a,Bi,10.00,0.0277,0.0277,52.50
429,Sb,L,a,Bi,15.00,0.0277,0.0240,52.50
430,Sb,L,a,Bi,20.00,0.0277,0.0210,52.50
431,U,M,b,C,10.00,0.9084,0.8493,52.50
432,U,M,b,C,15.00,0.9084,0.8588,52.50
433,U,M,b,C,20.00,0.9084,0.8648,52.50
434,U,M,b,C,25.00,0.9084,0.8709,52.50
435,U,M,b,C,30.00,0.9084,0.8747,52.50
436,U,M,b,C,35.00,0.9084,0.8746,52.50
437,U,M,b,N,10.00,0.9444,0.9061,52.50
438,U,M,b,N,15.00,0.9444,0.9129,52.50
439,U,M,b,N,20.00,0.9444,0.9179,52.50
440,U,M,b,N,25.00,0.9444,0.9218,52.50
441,U,M,b,N,30.00,0.9444,0.9243,52.50
442,U,M,b,N,35.00,0.9444,0.9259,52.50
443,U,M,b,Si,10.00,0.9622,0.9395,52.50
444,U,M,b,Si,15.00,0.9622,0.9433,52.50
445,U,M,b,Si,20.00,0.9622,0.9471,52.50
446,U,M,b,Si,25.00,0.9622,0.9493,52.50
447,U,M,b,Si,30.00,0.9622,0.9507,52.50
448,U,M,b,Si,35.00,0.9622,0.9521,52.50
449,U,M,b,P,10.00,0.8849,0.8242,52.50
450,U,M,b,P,15.00,0.8849,0.8349,52.50
451,U,M,b,P,20.00,0.8849,0.8432,52.50
